ID	PPQ_nM
PV051	
PV054	16.65
PV055	
PV058	F
PV059	F
PV063	
PV072	18.48
PV080	
PL031	4.11
PL032	20.67
PL033	21.33
PL036	24.33
PL038	25.61
PL039	
PL024	24.91
PL026	6.6
PL027	33.02
PL028	22.23
PL029	27.83
PL040	22.38
PL041	17.18
OM347	F
OM348	F
OM349	F
OM350	8.37
OM351	35.4
OM352	14.36
BB068	11.73
BB069	10.44
BB070	F
BB071	F
BB074	20.46
BB076	F
BB077	F
BB081	21.47
BB083	16.13
PL023	29.11
PL035	20.26
KS001	27.51
KS003	14.95
KS004	24.63
KS022	10.69
KS023	13.75
KS029	19.49
KS031	8.25
KS035	8.11
KS038	F
KS039	F
KS040	
KS046	F
KS047	
KS050	F
KS053	13.4
KS058	28.26
KS060	15.42
KS062	52.25
KS065	34.4
KS067	37.04
KS073	9.57
KS076	41.71
KS077	28.7
KS081	11.62
BB061	F
BB062	F
BB063	
BB066	F
BB067	F
BB075	
BB084	12.62
BB087	17.59
BB088	20.95
PN001	20.92
PN003	14.55
PN008	12.7
PN009	10.64
PN010	
PN011	65.77
PN012	6.42
PN014	20.82
PN016	8.62
PN017	6.5
PN019	F
PN022	15.81
PN025	14.05
KS002	F
KS006	37.52
KS007	12.23
KS008	11.94
KS009	7.09
KS010	4.82
KS012	4.63
KS013	12.31
KS014	10.83
KS020	10.9
KS026	14.94
KS027	14.4
KS028	47.52
KS030	F
KS033	34.66
KS034	15.95
KS041	F
KS042	10.12
KS044	F
KS051	11.55
KS052	35.24
KS059	F
KS061	50.06
KS070	26.99
KS072	10.2
KS078	F
KS085	16.52
KP064	14.73
KP065	6.15
KP071	F
KP078	8.49
KP079	9.4
KK006	18.68
KK007	23.16
KK008	27.2
KK011	F
KP062	F
KP066	7.74
KP073	F
KP077	
PN029	28.05
PN031	18.84
OM-389	47.18
OM-390	14.75
OM-407	36.44
OM-446	32.36
OM-459	291.95
OM-460	6127.92
OM-462	F
OM-463	30.78
OM-465	F
OM-466	F
OM-469	42.94
OM-470	F
OM-471	F
OM-478	634.79
OM-481	F
OM-486	3349.66
OM-487	F
OM-489	1061.17
OM-490	72.01
OM-491	F
OM-492	609.77
OM-493	11792.26
OM-494	1079.18
OM-495	F
OM-497	F
OM-499	1211.78
OM-500	F
OM-379	F
OM-381	F
OM-382	F
OM-384	F
OM-386	F
OM-387	F
OM-396	F
OM-398	33.03
OM-400	83.49
OM-402	222.52
OM-405	800.38
OM-406	123.44
OM-409	82.49
OM-412	45.17
OM-414	F
OM-417	20.6
OM-420	16.03
OM-421	56.07
OM-422	85.14
OM-423	17.54
OM-424	24.51
OM-425	F
OM-431	F
OM-433	18.34
OM-435	80.02
OM-436	6390.98
OM-439	1868.35
OM-442	F
OM-443	2101.22
OM-444	F
OM-445	F
OM-450	4780.3
OM-451	1439.26
OM-455	4358.76
OM-456	395.88
OM-457	194.81
OM-458	15273.44
OM-476	45.92
OM-477	F
OM-413	F
OM-468	F
OM-485	3531.86
SN001	45.78
SN010	33.77
SN100	18.66
SN101	65.6
SN102	26.61
SN103	44.55
SN104	38.28
SN105	28.95
SN106	F
SN107	12.97
SN108	17.39
SN109	17.61
SN011	46.43
SN110	24.94
SN111	45.84
SN112	33.85
SN113	34.49
SN114	F
SN115	24.26
SN116	397.06
SN117	61.27
SN118	23.98
SN119	31.12
SN012	19.76
SN013	F
SN014	43.24
SN015	F
SN016	45.7
SN017	F
SN018	23.96
SN019	31.43
SN002	18.32
SN020	F
SN021	F
SN022	19.47
SN023	36.29
SN024	3432.67
SN025	32.5
SN026	F
SN027	F
SN028	17.58
SN029	23.77
SN003	9.48
SN030	F
SN031	25.93
SN032	26.03
SN033	42.96
SN034	54.88
SN035	72.21
SN036	28.56
SN037	200.2
SN038	119.35
SN039	57.43
SN004	F
SN040	89.12
SN041	17.98
SN042	148.45
SN043	42.87
SN044	46.94
SN045	F
SN046	80.22
SN047	64.55
SN048	34.35
SN049	23.66
SN005	25.11
SN050	35.91
SN051	61.59
SN052	131.31
SN053	20.77
SN054	25.15
SN055	24.17
SN056	95.82
SN057	156.76
SN058	6.58
SN059	49.02
SN006	18.4
SN060	20.67
SN061	F
SN062	92.72
SN063	51.51
SN064	76.86
SN065	30.15
SN066	29.05
SN067	12.66
SN068	25.44
SN069	16.11
SN007	22.03
SN070	38.14
SN071	59.26
SN072	18.9
SN073	34.97
SN074	32.6
SN075	58.93
SN076	36.48
SN077	42.24
SN078	18.28
SN079	38.47
SN008	39.3
SN080	F
SN081	57.68
SN082	F
SN083	19.76
SN084	8.24
SN085	36.67
SN086	15
SN087	16.29
SN088	31.02
SN089	17.39
SN009	26.87
SN090	22.5
SN091	71.56
SN092	F
SN093	32.95
SN094	31.83
SN095	37.8
SN096	307.04
SN097	45.3
SN098	29.29
SN099	21.8
TB47R	8.38
TB55R	971.26
